annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,1,15.136986301,2,pu,10,0.3402725645,281.09481688,0.9520209647,0.5271024521,-0.316526064,-0.990462981,-0.126202318,1.0217715012,1.3564266078
2003,2,16.816438356,1,pu,10,0.2951796044,169.29428696,-0.45185394,-0.210308034,-2.46035788,-0.153258982,-0.549397695,-0.923928652,-1.126069963
2003,2,14.38630137,2,pu,10,0.2755569552,345.59827125,0.395870491,1.2913902708,-0.522856279,2.087893152,0.4880251411,1.2386091354,2.4192426238
2003,2,15.819178082,1,pu,10,0.2951796044,293.91722073,-0.132002586,1.5160096314,0.470601433,-0.560285958,-0.403221555,-0.492865429,-0.435776854
2003,1,14.57260274,2,pu,10,0.2778051451,263.54268755,1.4418439273,1.0070970634,0.9367917832,-0.990462981,-1.172049106,-1.144377123,-1.387450013
2003,2,16.142465753,1,pu,10,0.2951796044,252.3140896,0.6604470072,-0.721261227,0.2211042965,-0.542961509,1.7570849579,2.1043464178,-0.697156904
2003,2,14.383561644,2,pu,10,0.2755569552,369.15535012,1.2055448079,1.7713848821,1.827305751,-0.333660509,0.2121890088,-0.052797064,1.3737224249
2003,1,15.328767123,1,pu,10,0.2975878898,216.5950388,-1.431499865,-0.01460663,-0.93451129,-0.990462981,-0.687052604,-0.060973631,-0.006863794
2003,1,16.134246575,1,pu,10,0.2975878898,254.71147854,0.395870491,0.8113956595,2.1586058971,-0.990462981,-1.133907696,-1.138982817,-1.387450013
2003,2,14.969863014,2,pu,10,0.2755569552,258.84963529,-0.105005145,0.0450672164,-0.061344719,-0.113511427,-0.334179583,-1.358602712,0.0869832457
2003,2,14.810958904,2,pu,10,0.2755569552,364.57550067,0.4241478878,1.2913902708,0.5897397703,2.5173432337,-1.66385742,0.8101579577,-1.387450013
2003,2,15.131506849,2,pu,10,0.2755569552,274.21925927,1.4418439273,1.7713848821,1.8115538842,0.7634401266,0.9421210808,1.6732831948,1.374677509
2003,1,15.887671233,1,pu,10,0.2975878898,287.62717943,-1.150978581,-1.51834556,0.8564369188,-0.990462981,1.4957305196,1.2431748657,-0.361135799
2003,1,15.156164384,2,pu,10,0.2778051451,290.05559267,-1.404502424,0.4963465621,-0.077096586,-0.12435951,0.1351521204,-0.0564079,-0.697156904
2003,1,15.717808219,1,pu,10,0.2975878898,265.77966474,0.1312939748,-0.978677102,-0.300774197,-0.542961509,0.1351521204,0.5870974419,0.3483632954
2003,2,15.156164384,2,pu,10,0.2755569552,237.38064389,-0.358528988,-0.69234327,-1.326178369,-0.990462981,0.9039796715,-0.059019946,0.0869832457
2003,2,13.964383562,2,pu,10,0.2755569552,260.97614447,0.1312939748,1.2913902708,0.5739879035,-0.781161981,-0.126202318,-1.138982817,0.0869832457
2003,2,14.739726027,2,pu,10,0.2755569552,297.12890774,0.6604470072,1.5160096314,1.827305751,-0.333660509,0.1351521204,-0.926710913,-1.126069963
2003,2,16.216438356,1,pu,10,0.2951796044,229.33042219,0.395870491,-0.210308034,0.1938366266,-0.990462981,-0.394797603,-0.057066261,-0.864689914
2003,2,14.715068493,2,pu,10,0.2755569552,228.08411529,0.1423466478,0.269686577,-0.365377195,0.3282406183,-0.895029869,-0.064414252,-0.174396804
2003,1,15.071232877,2,pu,10,0.2778051451,235.80405378,-0.604600825,-1.802638767,0.3129749639,-0.990462981,-0.948407042,-0.705137333,-1.126069963
2003,1,14.991780822,2,pu,10,0.2778051451,249.05201053,-0.122229868,0.0450672164,2.1586058971,-0.119987794,1.7346083471,0.802980182,-0.435776854
2003,1,14.98630137,2,pu,10,0.2778051451,280.75238398,-0.632878221,0.269686577,0.1938366266,-0.990462981,-0.626434584,-0.283205571,-1.387450013
2003,2,15.221917808,2,pu,10,0.2755569552,263.90807483,1.1502699697,0.5271024521,-0.061344719,0.1066376552,1.9959627854,-0.487471123,0.5158963054
2003,2,14.975342466,2,pu,10,0.2755569552,251.89692044,0.395870491,0.0450672164,0.1938366266,-0.990462981,-0.90345382,-1.358602712,-1.051428909
2003,2,14.890410959,2,pu,10,0.2755569552,258.72459662,-0.095232427,1.7713848821,1.8115538842,2.5173432337,1.0404514755,-1.358602712,-1.126069963
2003,2,15.912328767,1,pu,10,0.4258981843,240.11051284,0.1312939748,-1.036310324,-0.104364256,-0.113511427,0.4037474057,0.5907082782,-0.435776854
2003,2,16.243835616,1,pu,10,0.4258981843,213.86315237,-0.396579102,-2.315429893,-1.2989107,0.554139127,0.4037474057,0.5924917479,0.9448093651
2003,1,14.742465753,2,pu,10,0.4008295464,115.86300891,0.395870491,0.0450672164,-0.57170741,-0.340136876,-0.656152041,-1.358602712,0.2545162557
2003,2,15.405479452,1,pu,10,0.4258981843,291.77228526,-1.376225027,-0.179552144,1.4645018713,-0.990462981,0.1885292935,-0.710701855,-1.051428909
2003,2,13.657534247,2,pu,10,0.3975857585,289.39336744,1.4418439273,-0.976636477,-1.2989107,0.5180363468,0.1648695782,1.6732831948,1.7289495143
2003,2,14.487671233,2,pu,10,0.3975857585,307.15293812,0.9520209647,0.238930687,-0.64782621,0.7814915167,1.4648299573,0.5905380628,-0.435776854
2003,2,15.57260274,1,pu,10,0.4258981843,238.48953827,0.1312939748,-0.780935073,-0.663578077,1.1993665753,1.1737580612,0.8003681367,1.1497992616
2003,2,15.4,1,pu,10,0.4258981843,247.45771147,0.1312939748,0.269686577,-0.061344719,-0.113511427,-0.126202318,-0.492865429,0.5158963054
2003,1,14.745205479,2,pu,10,0.4008295464,369.7330207,-0.667327669,1.7713848821,1.1762212619,1.2000935158,-0.318943819,-1.358602712,-1.387450013
2003,2,14.819178082,2,pu,10,0.3975857585,257.57584588,0.7157218454,0.974300549,1.1762212619,1.2109415984,0.1812884465,0.8049338671,1.7289495143
2003,2,15.742465753,1,pu,10,0.4258981843,257.41556864,0.395870491,1.2913902708,0.5897397703,0.5360877369,1.2271352344,0.1506399129,-0.174396804
2003,2,14.742465753,2,pu,10,0.3975857585,217.07977099,-0.886402065,-0.436968019,1.4645018713,-0.990462981,0.6438083377,1.0289492769,-0.341929814
2003,1,14.98630137,2,pu,10,0.4008295464,350.7429691,0.1312939748,1.7713848821,0.5739879035,0.3101892282,-0.580298258,-1.358602712,-0.790048859
2003,1,14.731506849,2,pu,10,0.4008295464,238.34647681,-2.185899344,1.7713848821,1.9034245517,-0.990462981,-2.248367421,-1.358602712,1.8035905687
2003,1,15.487671233,1,pu,10,0.4293729651,270.28648157,1.4798940416,0.269686577,1.8545734209,-0.990462981,1.9959627854,1.4454867333,-1.387450013
2003,1,14.909589041,2,pu,10,0.4008295464,245.09990989,0.395870491,0.269686577,-0.012493588,-0.322812427,-0.372320992,-0.707091018,0.7955272563
2003,1,14.819178082,2,pu,10,0.4008295464,296.91949375,-1.139925908,0.5271024521,-0.061344719,-0.542961509,0.4868420366,2.1043464178,0.3483632954
