"id";"score"
"e121381";231,11969908
"e121400";218,06223689
"e121404";179,32593891
"e12147";206,08058247
"e121475";276,27157018
"e121480";245,89614034
"e121496";238,43824955
"e12156";121,04881843
"e121572";284,90313874
"e121577";301,91924717
"e121599";260,96309813
"e12161";233,00774262
"e121636";270,56767286
"e121684";322,04975544
"e121706";304,51923551
"e121741";246,35078973
"e121758";342,5427817
"e121765";217,75620822
"e121802";182,16981767
"e121813";219,66935813
"e121836";223,2514537
"e121840";298,43721839
"e121843";298,28075194
"e121849";210,97883444
"e121879";308,79202514
"e121895";200,77731102
"e121899";292,59147011
"e012191";292,45360926
"e121933";255,38580863
"e121959";189,44254901
"e121966";238,59547816
"e122064";211,20232593
"e122084";259,40260299
"e122099";311,43590479
"e01221";237,176565
"e122103";218,85627054
"e122104";227,40947138
"e122116";233,82567216
"e122124";183,54977113
"e122171";245,92398151
"e122194";239,860839
"e122199";283,89220403
"e122201";248,26766076
"e122204";352,09526073
"e122206";216,36051845
"e122211";213,15255256
"e122225";205,58571806
"e122246";383,57613281
"e122247";221,05899548
"e122250";316,33151163
"e12227";237,04592223
"e122336";204,659607
"e122342";306,11008245
"e122360";235,10318268
"e122398";215,79190409
"e122420";266,21449803
"e122454";258,51702077
"e122477";212,17510793
"e122502";160,44805896
"e122549";247,91204702
"e122557";147,04255977
"e122558";326,34361648
"e12257";229,55691748
"e122575";293,07642647
"e122579";206,27475331
"e12259";185,49838378
"e122631";226,58459276
"e122646";267,29990002
"e122653";264,75590784
"e122666";234,95366531
"e012273";247,65134431
"e122764";252,97375936
"e122789";267,57001762
"e122808";240,48459769
"e122837";214,30358976
"e122840";272,97635967
"e122845";248,10487288
"e122887";254,05987868
"e122904";275,74774379
"e122906";217,19422912
"e122909";249,14436609
"e122918";220,83783529
"e122950";314,74963125
"e122967";200,88943784
"e122975";354,25037323
"e122989";239,43896239
"e122993";278,03484405
"e123024";158,60274108
"e123027";215,24660279
"e123030";275,47457756
"e123032";256,93011912
"e123056";265,07960063
"e123083";221,52404607
"e12309";256,84475748
"e123091";204,69013813
"e123107";270,78757773
"e123112";166,79745888
"e123142";257,09927326
"e123170";227,06910079
"e123194";254,37917786
"e123205";238,42601019
"e123207";320,06576971
"e123246";223,23356542
"e123256";237,8000547
"e12329";193,79500652
"e123305";366,96661302
"e123335";309,61555877
"e012334";308,9538267
"e123348";178,24546853
"e123366";251,15363751
"e123367";438,5238933
"e12337";245,83821637
"e123373";299,2545651
"e123388";212,27109495
"e123420";298,39677921
"e123470";285,56164285
"e123478";227,78956382
"e123491";255,12286428
"e123497";267,55719544
"e1235";226,24323585
"e01235";333,44011011
"e123505";167,75889819
"e123519";274,58177726
"e123553";382,7311691
"e123570";216,78105007
"e123595";220,56664171
"e123620";231,49441159
"e123623";318,07169661
"e123624";160,71261729
"e123636";216,16908241
"e123640";293,42639127
"e123672";164,86408938
"e123689";211,74901704
"e123696";239,0705713
"e012371";330,63532555
"e123732";248,37924959
"e123735";358,92692703
"e123753";264,71632048
"e123786";239,4797154
"e123797";266,59589063
"e123799";161,14269831
"e12382";224,64059789
"e012383";240,52570937
"e123836";200,03254861
"e123850";225,51506158
"e123870";245,63996575
"e123892";214,86745184
"e123894";157,56109589
"e123906";312,54287136
"e123918";213,64660997
"e123925";327,06959395
"e12394";264,8678105
"e123951";302,30897866
"e123966";233,98599423
"e123968";206,80463212
"e12398";199,32060381
"e124000";350,44922462
"e124021";284,49354632
"e124034";270,92570757
"e124036";261,12198555
"e124061";219,26052786
"e124087";119,98260488
"e124107";279,14306594
"e12414";265,71649533
"e124141";304,67310167
"e124153";217,87725677
"e124154";211,63922152
"e12416";208,36050948
"e124167";241,51965246
"e124175";220,49347459
"e12418";219,82286562
"e124182";233,65593519
"e124187";219,82385194
"e124234";164,3920897
"e124249";234,4557971
"e124302";266,62368696
"e124325";316,34711344
"e124326";219,27456053
"e124328";216,06520482
"e124358";241,70772604
"e12436";227,05775809
"e124387";250,74274493
"e124430";207,36427992
"e124449";217,95741781
"e12446";266,16249199
"e012450";244,93187657
"e012453";240,18802875
"e124542";314,03441365
"e012458";305,59280165
"e124584";268,62452982
"e124592";241,13382141
"e12461";182,94192808
"e124610";214,13161116
"e12462";208,1973181
"e124628";332,9598612
