Geometry X Y;Geometry;INSEE;CHOM75;CHOM82;CHOM90;CHOM99;CHOM2006;CHOM2007;CHOM2008;Chom2009;TxChom2009
49.0901135446, 2.2764167311;"{""type"": ""Polygon"", ""coordinates"": [[[2.300276282918839, 49.09638840473827], [2.303124904410171, 49.09193558628121], [2.291503541545395, 49.08756112010843], [2.283585903458548, 49.078349172239065], [2.280346859698196, 49.07369838435416], [2.273731842947599, 49.07661757484897], [2.257471757950699, 49.08378367937463], [2.258076044839009, 49.09119409868078], [2.250573078272662, 49.0907930260932], [2.260334277330291, 49.10074589361387], [2.282015465845664, 49.09959823253733], [2.291865124390682, 49.1009084204391], [2.300276282918839, 49.09638840473827]]]}";95445;2.0;8.0;13.0;47.0;41;18.81;17.89;17.0;5.345912
49.096232576, 2.45552476864;"{""type"": ""Polygon"", ""coordinates"": [[[2.454126445624071, 49.08976751474332], [2.449154757190601, 49.09521308955401], [2.449811226020722, 49.100841902823625], [2.465267764622693, 49.09864943992095], [2.454126445624071, 49.08976751474332]]]}";95493;0.0;2.0;3.0;8.0;5;5.04;5.0;5.0;7.246377
49.0837687122, 2.31204744955;"{""type"": ""Polygon"", ""coordinates"": [[[2.338876760238913, 49.07684176405288], [2.334099434343493, 49.07541190233747], [2.308052382400449, 49.07187416365643], [2.296658501608187, 49.079145850223725], [2.283585903458548, 49.078349172239065], [2.291503541545395, 49.08756112010843], [2.303124904410171, 49.09193558628121], [2.300276282918839, 49.09638840473827], [2.307870865750284, 49.10004889189755], [2.312255395880101, 49.09746843693255], [2.325208195391691, 49.08797278931558], [2.33263360240258, 49.089089796344034], [2.330676471964624, 49.08221926315535], [2.334824614979412, 49.08287588347623], [2.338876760238913, 49.07684176405288]]]}";95353;9.0;26.0;40.0;53.0;43;51.53;52.26;53.0;5.862832
49.0698838635, 3.0249685812;"{""type"": ""Polygon"", ""coordinates"": [[[3.060541870531895, 49.08902908280671], [3.06685936168138, 49.08460595511224], [3.044636789865558, 49.07267879683098], [3.059211195766153, 49.06117559148536], [3.061167526019359, 49.052709687083656], [3.038219645498092, 49.0458018092858], [3.034167103766754, 49.05336278188045], [3.02180223691767, 49.04972319224721], [3.005792357449768, 49.05462907560052], [2.989518124243733, 49.06255585001257], [2.988342193379501, 49.07199627595055], [2.991391393294635, 49.08418252805179], [3.000868789196677, 49.08951492842613], [3.005867721688258, 49.08655412456309], [3.008593177718005, 49.09165525794854], [3.031804051146838, 49.08584228797783], [3.032999331615562, 49.08905457105577], [3.050754664724489, 49.08497044226591], [3.060541870531895, 49.08902908280671]]]}";77283;8.0;16.0;34.0;44.0;54;53.93;54.51;45.33;9.572302
49.0700768599, 2.23962041106;"{""type"": ""Polygon"", ""coordinates"": [[[2.273731842947599, 49.07661757484897], [2.271510404666035, 49.06917035261383], [2.266203528332538, 49.06666723066042], [2.256430856138919, 49.07560856636039], [2.255411337956571, 49.07128234522137], [2.234706593432588, 49.049368473770684], [2.231007180563424, 49.05192805185826], [2.203714638995218, 49.06099128750873], [2.202718736573962, 49.06491096233389], [2.216087893996634, 49.06558228106983], [2.223797874723, 49.07541919333655], [2.233337190620727, 49.07615660479382], [2.235860358127252, 49.08739076843614], [2.251391199760807, 49.084858440373935], [2.250573078272662, 49.0907930260932], [2.258076044839009, 49.09119409868078], [2.257471757950699, 49.08378367937463], [2.273731842947599, 49.07661757484897]]]}";95678;7.0;15.0;20.0;28.0;28;28.21;28.6;19.0;5.093867
49.0747402759, 2.78783313242;"{""type"": ""Polygon"", ""coordinates"": [[[2.779836952286261, 49.05983483457316], [2.760761421600585, 49.06309052121649], [2.782867505875283, 49.07551593200151], [2.775055132116031, 49.081203483883115], [2.783780464424614, 49.0889205522101], [2.791679829362488, 49.090283370143936], [2.805535301603933, 49.08866277886816], [2.799879199372833, 49.078289961096075], [2.808531757823933, 49.0740639722855], [2.802802088086543, 49.068853534707614], [2.779836952286261, 49.05983483457316]]]}";77430;21.0;83.0;180.0;214.0;186;185.61;189.2;219.88;7.294264
49.0744297423, 2.38693568415;"{""type"": ""Polygon"", ""coordinates"": [[[2.405001906926775, 49.08267585859096], [2.394252431844982, 49.06875196596617], [2.375470241041192, 49.063409139219445], [2.367221100269647, 49.06828568357066], [2.370276244358432, 49.07281717594547], [2.375613632357084, 49.071763348579516], [2.379410742517126, 49.0783806605339], [2.396463655208164, 49.08649352062471], [2.405001906926775, 49.08267585859096]]]}";95682;4.0;3.0;6.0;9.0;7;4.53;4.77;5.0;5.263158
49.0680319912, 1.6641632229;"{""type"": ""Polygon"", ""coordinates"": [[[1.687620089571468, 49.07179245750953], [1.696934210396071, 49.06600837346142], [1.693576611794108, 49.056870629678976], [1.684197542212621, 49.05107101862756], [1.644949736911832, 49.06431231434836], [1.620754347070125, 49.07367836038312], [1.645642261903313, 49.08136737677632], [1.672652423255311, 49.07841549384956], [1.687620089571468, 49.07179245750953]]]}";78410;10.0;18.0;21.0;39.0;38;38.06;38.8;32.89;7.122235
49.0758888083, 2.35707665845;"{""type"": ""Polygon"", ""coordinates"": [[[2.370276244358432, 49.07281717594547], [2.367221100269647, 49.06828568357066], [2.338876760238913, 49.07684176405288], [2.349678336253882, 49.08101369893304], [2.362478913393983, 49.081847885672616], [2.370276244358432, 49.07281717594547]]]}";95660;6.0;10.0;12.0;25.0;17;17.74;18.0;18.11;4.931507
49.0633163662, 2.56602994828;"{""type"": ""Polygon"", ""coordinates"": [[[2.590343343019704, 49.07987142506158], [2.57077090579855, 49.06042560117887], [2.58736016090589, 49.04768937652159], [2.577272744239052, 49.046689156423575], [2.569645677113503, 49.039384745789384], [2.567944634200595, 49.04126767991363], [2.570297694357321, 49.05003089445324], [2.566517003724313, 49.04609068562553], [2.549994019565362, 49.05314593599396], [2.553292456521428, 49.05963255680338], [2.545962271444622, 49.07042849324538], [2.55017672887847, 49.07968330323681], [2.568968017001259, 49.07576196689911], [2.582941316936525, 49.080705874375255], [2.590343343019704, 49.07987142506158]]]}";95641;16.0;25.0;77.0;116.0;85;85.0;86.56;91.77;7.122076
49.0587348094, 2.30297777869;"{""type"": ""Polygon"", ""coordinates"": [[[2.330008223007145, 49.06362225543797], [2.335085867134574, 49.05133836687308], [2.321746244018242, 49.050941702861955], [2.30693145001032, 49.04686508138904], [2.299828640290971, 49.05034319690385], [2.28998175527671, 49.04631984687654], [2.284753030042788, 49.04898843724046], [2.278988635368872, 49.05295147423562], [2.281040295621354, 49.065686201138895], [2.275135923411978, 49.06630772269265], [2.274508544033158, 49.06857849983031], [2.276133183623933, 49.07188869484513], [2.287233134904991, 49.07247855499315], [2.300036213366035, 49.06557695565615], [2.315486521782946, 49.06760424556075], [2.330008223007145, 49.06362225543797]]]}";95042;16.0;32.0;36.0;49.0;57;48.24;49.63;51.0;5.105105
49.0509942584, 1.64987496874;"{""type"": ""Polygon"", ""coordinates"": [[[1.684197542212621, 49.05107101862756], [1.643121484363422, 49.03753781609367], [1.63721726856253, 49.03815839416322], [1.628378556016232, 49.04787956665762], [1.627595852872628, 49.05763224519806], [1.644949736911832, 49.06431231434836], [1.684197542212621, 49.05107101862756]]]}";78437;4.0;10.0;13.0;23.0;22;21.74;21.86;22.0;7.006369
49.0479208874, 1.57214251795;"{""type"": ""Polygon"", ""coordinates"": [[[1.59971238845822, 49.054551446609956], [1.583213707914348, 49.04264509223992], [1.561829335319256, 49.03493913838101], [1.549231204412737, 49.03498809834012], [1.531737732583401, 49.04672853849041], [1.533077859131286, 49.04761029175677], [1.547091839169931, 49.0404862046953], [1.580714342106562, 49.06208982392888], [1.591897587431635, 49.06284654382847], [1.59971238845822, 49.054551446609956]]]}";78057;16.0;39.0;63.0;89.0;71;72.0;72.4;72.73;7.578947
49.0414943512, 3.10863155388;"{""type"": ""Polygon"", ""coordinates"": [[[3.146665205660239, 49.0422894702513], [3.151543159575171, 49.03943996805856], [3.146344980566412, 49.0360864003979], [3.152501958389887, 49.03286806836808], [3.147508510856103, 49.03195925944211], [3.150619908540067, 49.0273686067233], [3.11018746626297, 49.02344019348905], [3.094617414160952, 49.02558579182553], [3.094756592290573, 49.030216362613025], [3.088403007905506, 49.032416582311825], [3.081640054382561, 49.03016748662924], [3.069831084842102, 49.03160161582592], [3.071815274954386, 49.044584025733364], [3.066246079270483, 49.04542899449451], [3.07601427665843, 49.052776768643895], [3.096526938722973, 49.06184265699366], [3.121568885913286, 49.06083740926098], [3.123389128615846, 49.05222741225437], [3.140340132050244, 49.047891863809305], [3.138226881019338, 49.04581125602787], [3.146665205660239, 49.0422894702513]]]}";77490;5.0;17.0;18.0;38.0;43;35.22;35.6;36.0;9.160305
49.0430888404, 1.79328881537;"{""type"": ""Polygon"", ""coordinates"": [[[1.811990025226095, 49.04061268861128], [1.801299880459083, 49.0311115836229], [1.785532144362896, 49.03099176778761], [1.772836451957941, 49.042144175614204], [1.777208023891394, 49.04872150843711], [1.789804401851294, 49.05282022100392], [1.789174376651682, 49.057826292260295], [1.794187351753155, 49.05865052924687], [1.810885634243465, 49.046713838532675], [1.811990025226095, 49.04061268861128]]]}";78536;1.0;5.0;9.0;16.0;13;10.89;10.94;11.0;5.339806
49.0348301065, 3.01864527399;"{""type"": ""Polygon"", ""coordinates"": [[[3.038219645498092, 49.0458018092858], [3.040144514803658, 49.03972863908552], [3.053832909733361, 49.0337532901401], [3.044248861648431, 49.02827309117171], [3.029755962776951, 49.02657203327089], [3.034559956897261, 49.02199234841745], [3.028452127383383, 49.01839616222912], [3.013703299883842, 49.01872707941651], [3.013382664919205, 49.014268385782145], [3.007714027744869, 49.02476072199587], [2.995495234954324, 49.02319487120868], [2.985188329265457, 49.027651261025404], [2.984097668540834, 49.032100011579345], [2.992794318192818, 49.03402905902561], [2.999456906807223, 49.044386768143696], [3.001495624155967, 49.04135327826589], [3.009303744090058, 49.04517475771418], [3.005792357449768, 49.05462907560052], [3.02180223691767, 49.04972319224721], [3.034167103766754, 49.05336278188045], [3.038219645498092, 49.0458018092858]]]}";77257;69.0;117.0;137.0;203.0;171;171.0;171.0;175.6;10.511072
49.037307447, 2.88127773937;"{""type"": ""Polygon"", ""coordinates"": [[[2.898475892853234, 49.043711788857316], [2.903085289166226, 49.040055940351564], [2.904347202398923, 49.02960881697345], [2.897915773972676, 49.024451518231906], [2.879291557367181, 49.02951439113357], [2.872884907226499, 49.030201049593366], [2.854220545651831, 49.030556689748344], [2.85450692820039, 49.03833431478373], [2.861486587440942, 49.04126124196665], [2.862600050755776, 49.04693070196349], [2.873297371025638, 49.044300116438784], [2.881781909859304, 49.05202101151166], [2.898475892853234, 49.043711788857316]]]}";77274;3.0;5.0;17.0;6.0;10;14.05;14.54;15.0;6.726457
