Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
157;Métro;PASSY;3366482;6;;;;;Paris;16
95;Métro;PONT DE SEVRES;4701284;9;;;;;Boulogne Billancourt;
146;Métro;CRETEIL-UNIVERSITE;3522563;8;;;;;Créteil;
99;Métro;ECOLE MILITAIRE;4640723;8;;;;;Paris;
86;Métro;PERE LACHAISE;4932986;2;3;;;;Paris;20
82;Métro;DAUMESNIL;5140492;6;8;;;;Paris;12
64;Métro;MIROMESNIL;5841806;9;13;;;;Paris;
83;Métro;PYRAMIDES;5096769;7;14;;;;Paris;
90;Métro;CHARLES MICHELS;4897053;10;;;;;Paris;15
91;Métro;GLACIERE;4827308;6;;;;;Paris;13
70;Métro;BASILIQUE DE SAINT-DENIS;5434754;13;;;;;Saint Denis;
68;Métro;CONVENTION;5614573;12;;;;;Paris;
84;Métro;HOCHE;5040191;5;;;;;Pantin;
80;Métro;ALESIA;5208628;4;;;;;Paris;
168;Métro;OBERKAMPF;3133981;5;9;;;;Paris;11
175;Métro;FAIDHERBE-CHALIGNY;3073785;8;;;;;Paris;12
194;Métro;SAINT-AMBROISE;2877583;9;;;;;Paris;11
162;Métro;SAINT-PLACIDE;3278515;4;;;;;Paris;6
188;Métro;ARGENTINE;2947071;1;;;;;Paris;17
161;Métro;PERNETY;3282156;13;;;;;Paris;14
182;Métro;SIMPLON;2994372;4;;;;;Paris;18
210;Métro;WAGRAM;2575870;3;;;;;Paris;17
212;Métro;CRETEIL-POINTE DU LAC;2564228;8;;;;;Créteil;
184;Métro;MAIRIE D'IVRY;2975244;7;;;;;Ivry;
31;RER;PORT ROYAL;3322322;B;;;;;Paris;5
43;RER;LE PARC DE SAINT-MAUR;2100682;A;;;;;Saint-Maur des Fossés;
39;RER;BOISSY-SAINT-LEGER;2315642;A;;;;;Boissy-Saint-Léger;
28;RER;JOINVILLE-LE-PONT;3564470;A;;;;;Joinville-le-Pont;
14;RER;RUEIL-MALMAISON;6302437;A;;;;;Rueil-Malmaison;
42;RER;SUCY-BONNEUIL;2121295;A;;;;;Sucy-en-Brie;
34;RER;LA CROIX DE BERNY;2975417;B;;;;;Antony;
54;RER;PALAISEAU;954855;B;;;;;Palaiseau;
37;RER;NOISIEL;2644814;A;;;;;Noisiel;
26;RER;TORCY;3631640;A;;;;;Torcy;
291;Métro;ASSEMBLEE NATIONALE;1142259;12;;;;;Paris;7
290;Métro;QUAI DE LA RAPEE;1197619;5;;;;;Paris;12
296;Métro;PORTE D'AUTEUIL;682814;10;;;;;Paris;16
261;Métro;PORTE D'IVRY;1869444;7;;;;;Paris;13
263;Métro;FELIX FAURE;1838532;8;;;;;Paris;15
273;Métro;PONT MARIE;1695690;7;;;;;Paris;4
298;Métro;DANUBE;617424;7bis;;;;;Paris;19
256;Métro;BUZENVAL;1896837;9;;;;;Paris;20
283;Métro;MIRABEAU;1390817;10;;;;;Paris;16
288;Métro;TEMPLE;1222777;3;;;;;Paris;2
61;RER;BURES-SUR-YVETTE;662982;B;;;;;Bures sur Yvette;
59;RER;GIF-SUR-YVETTE;711162;B;;;;;Gif sur Yvette;
63;RER;MASSY-VERRIERES;566720;B;;;;;Massy;
